order_book_id,date,prev_close,low,volume,close,high,total_turnover,open
000941.XSHG,2015-09-28,1585.8888,1567.1208,331407300.0,1601.4501,1602.6818,4287666236.7,1592.6953
000941.XSHG,2015-09-29,1601.4501,1560.4937,335260300.0,1567.138,1589.5411,4283376258.3,1577.7233
000941.XSHG,2015-09-30,1567.138,1565.5623,301484700.0,1575.9379,1585.1641,3656237462.1,1577.3416
000941.XSHG,2015-10-08,1575.9379,1612.7241,545854700.0,1631.9956,1644.5667,7438168455.9,1622.8598
000941.XSHG,2015-10-09,1631.9956,1627.2585,552874400.0,1668.4715,1675.7155,7663796219.1,1632.0171
000941.XSHG,2015-10-12,1668.4715,1672.3909,847048800.0,1716.2243,1734.2281,12162858956.1,1673.1182
000941.XSHG,2015-10-13,1716.2243,1702.8473,765760600.0,1750.711,1753.1951,10647240020.5,1710.185
000941.XSHG,2015-10-14,1750.711,1732.9967,762041200.0,1739.5472,1765.7124,10679034449.7,1747.9142
000941.XSHG,2015-10-15,1739.5472,1735.0302,691471100.0,1772.9064,1773.0343,9738234056.3,1736.4493
000941.XSHG,2015-10-16,1772.9064,1766.0313,782611400.0,1788.8879,1802.6572,11381311366.6,1788.135
000941.XSHG,2015-10-19,1788.8879,1774.9915,816963800.0,1791.5778,1812.4286,11889079249.5,1799.4665
000941.XSHG,2015-10-20,1791.5778,1788.4222,762111000.0,1816.2307,1816.5779,11184870902.5,1795.0085
000941.XSHG,2015-10-21,1816.2307,1708.5324,954240500.0,1729.2847,1819.7647,13660815477.3,1813.9582
000941.XSHG,2015-10-22,1729.2847,1713.6921,791408500.0,1769.4858,1769.8024,12715924546.3,1717.9106
000941.XSHG,2015-10-23,1769.4858,1776.7969,872610400.0,1806.6059,1813.5096,14651663018.7,1787.3264
000941.XSHG,2015-10-26,1806.6059,1793.499,1025666900.0,1827.1396,1827.3728,18243755768.1,1823.2802
000941.XSHG,2015-10-27,1827.1396,1756.3364,747233900.0,1811.3608,1820.2662,12529316342.7,1801.9331
000941.XSHG,2015-10-28,1811.3608,1775.4852,794088700.0,1780.861,1832.824,13938108172.5,1802.1621
000941.XSHG,2015-10-29,1780.861,1763.7652,594305800.0,1781.5770000000002,1803.814,9867649985.9,1795.2404
000941.XSHG,2015-10-30,1781.5770000000002,1755.1623,609660300.0,1777.4736,1801.6674,10201419421.9,1778.0128
000941.XSHG,2015-11-02,1777.4736,1741.0821,666213800.0,1752.5764,1785.1914,11021712772.3,1744.6842
000941.XSHG,2015-11-03,1752.5764,1725.7413,720541100.0,1743.3721,1760.1813,11343137071.7,1750.9849
000941.XSHG,2015-11-04,1743.3721,1742.7379,941861300.0,1815.5668,1816.03,14920534442.4,1742.7379
000941.XSHG,2015-11-05,1815.5668,1805.2733,1114801700.0,1817.0242,1841.2875,18242626098.8,1813.992
000941.XSHG,2015-11-06,1817.0242,1826.1338,936137300.0,1860.8984,1863.9847,15475533175.9,1826.1338
000941.XSHG,2015-11-09,1860.8984,1827.4809,1067473500.0,1875.6617,1888.3854,17754888628.2,1847.8739
000941.XSHG,2015-11-10,1875.6617,1857.0031,934851500.0,1873.9522,1899.8714,15724152277.7,1867.3984
000941.XSHG,2015-11-11,1873.9522,1866.0126,841165400.0,1894.6425,1894.7667,14069738598.1,1884.0876
000941.XSHG,2015-11-12,1894.6425,1885.3815,1128445500.0,1920.6136,1934.5191,18680730555.7,1913.8683
000941.XSHG,2015-11-13,1920.6136,1876.9258,1147431000.0,1906.5412,1933.769,18563241461.9,1909.8714
000941.XSHG,2015-11-16,1906.5412,1878.9896,989844400.0,1951.4598,1951.9863,16366871236.9,1880.9235
000941.XSHG,2015-11-17,1951.4598,1915.4019,1133698000.0,1919.5449,1976.6251,19137944649.1,1968.9978
000941.XSHG,2015-11-18,1919.5449,1879.6642,842773400.0,1886.63,1937.6326,13996583714.0,1922.5535
000941.XSHG,2015-11-19,1886.63,1893.0289,766365400.0,1941.448,1942.4049,12991559336.0,1894.3342
000941.XSHG,2015-11-20,1941.448,1929.1774,985562800.0,1957.9447,1965.9707,17302789254.5,1945.2301
000941.XSHG,2015-11-23,1957.9447,1918.4196,805355000.0,1926.8894,1967.1289,13728550705.6,1959.6913
000941.XSHG,2015-11-24,1926.8894,1906.1884,671507900.0,1945.7383,1945.7383,10629670772.7,1928.8593
000941.XSHG,2015-11-25,1945.7383,1939.9241,814972800.0,1970.8891,1971.0408,13592208055.0,1948.9651
000941.XSHG,2015-11-26,1970.8891,1953.2176,830696300.0,1958.0993,1981.1142,14517642789.4,1975.4828
000941.XSHG,2015-11-27,1958.0993,1815.7315,926759600.0,1833.7275,1958.3885,15674771411.8,1951.221
000941.XSHG,2015-11-30,1833.7275,1771.4694,840072400.0,1871.5222,1872.019,13956599235.5,1844.6215
000941.XSHG,2015-12-01,1871.5222,1857.975,726636700.0,1877.1009,1891.5978,12492690213.5,1870.282
000941.XSHG,2015-12-02,1877.1009,1811.6832,623441000.0,1868.0935,1876.4855,10270148391.2,1875.1514
000941.XSHG,2015-12-03,1868.0935,1867.1558,636586300.0,1901.624,1902.2816,10299143887.7,1867.382
000941.XSHG,2015-12-04,1901.624,1872.4561,616040500.0,1883.4905,1904.0717,10310142586.4,1893.0379
000941.XSHG,2015-12-07,1883.4905,1893.1205,521002500.0,1910.314,1920.5308,8994173756.1,1905.7236
000941.XSHG,2015-12-08,1910.314,1874.011,556456200.0,1875.5345,1918.9331,9202483884.5,1918.9331
000941.XSHG,2015-12-09,1875.5345,1860.7808,804678400.0,1874.0207,1894.9716,13643694104.5,1891.6603
000941.XSHG,2015-12-10,1874.0207,1860.2949,641390900.0,1865.562,1887.9894,11207722476.9,1876.3685
000941.XSHG,2015-12-11,1865.562,1838.7198,513049700.0,1844.9869,1864.414,8737414116.6,1859.9422
000941.XSHG,2015-12-14,1844.9869,1821.7832,860991700.0,1883.2487,1883.6414,14987668262.5,1826.1589
