order_book_id,date,high,prev_close,volume,open,low,close,total_turnover
399808.XSHE,2018-10-29,1147.253,1149.5877,802671421.0,1144.2838,1126.1408,1131.2907,6644021307.0
399808.XSHE,2018-10-30,1145.909,1131.2907,930851031.0,1128.106,1116.0791,1137.3779,8055481237.0
399808.XSHE,2018-10-31,1167.1315,1137.3779,1100513582.0,1138.6421,1138.6421,1160.6986,9333593992.0
399808.XSHE,2018-11-01,1187.9351,1160.6986,1390961003.0,1168.8229,1165.8794,1168.6081,12043073104.0
399808.XSHE,2018-11-02,1216.8022,1168.6081,1772827731.0,1189.9562,1187.7938,1216.8022,16704979034.0
399808.XSHE,2018-11-05,1248.4554,1216.8022,1768997259.0,1228.4904,1224.0579,1236.6514,16551896265.0
399808.XSHE,2018-11-06,1237.2248,1236.6514,1597009268.0,1237.1776,1218.2041,1232.1683,14151781649.0
399808.XSHE,2018-11-07,1243.8606,1232.1683,1507540963.0,1234.2396,1223.976,1224.3318,14004358078.0
399808.XSHE,2018-11-08,1234.7505,1224.3318,1128982310.0,1233.4774,1214.2829,1215.4532,9759732316.0
399808.XSHE,2018-11-09,1223.1314,1215.4532,1322250333.0,1212.1616,1208.6631,1213.8231,9480148900.0
399808.XSHE,2018-11-12,1252.2261,1213.8231,1716133002.0,1212.2376,1210.7951,1252.0676,13718675637.0
399808.XSHE,2018-11-13,1270.952,1252.0676,2162429495.0,1237.4219,1234.8468,1263.9416,15894128875.0
399808.XSHE,2018-11-14,1273.9953,1263.9416,1717925270.0,1260.904,1257.3446,1259.3797,12673932364.0
399808.XSHE,2018-11-15,1274.6699,1259.3797,1483343689.0,1257.2262,1256.5357,1274.6699,11393426269.0
399808.XSHE,2018-11-16,1293.2541,1274.6699,1722836053.0,1278.8054,1276.1867,1282.6633,14959836626.0
399808.XSHE,2018-11-19,1289.02,1282.6633,1706944088.0,1283.1261,1271.6385,1288.6627,13749463055.0
399808.XSHE,2018-11-20,1279.5794,1288.6627,1612851604.0,1277.8568,1253.8425,1256.054,13898472603.0
399808.XSHE,2018-11-21,1265.014,1256.054,1262763852.0,1240.6411,1239.485,1264.4523,10406060818.0
399808.XSHE,2018-11-22,1275.5784,1264.4523,1074270694.0,1267.3917,1257.7415,1261.0089,8971698422.0
399808.XSHE,2018-11-23,1261.62,1261.0089,1357846659.0,1260.5515,1211.2661,1214.1204,11062131019.0
399808.XSHE,2018-11-26,1225.1281,1214.1204,855018961.0,1215.3615,1209.1832,1216.5412,7165242293.0
